avg,date,type
436,2020-05-31,后端
431,2020-06-01,后端
432,2020-06-02,后端
455,2020-06-03,后端
475,2020-06-04,后端
483,2020-06-05,后端
490,2020-06-06,后端
505,2020-06-07,后端
489,2020-06-08,后端
466,2020-06-09,后端
459,2020-06-10,后端
471,2020-06-11,后端
486,2020-06-12,后端
497,2020-06-13,后端
491,2020-06-14,后端
513,2020-06-15,后端
511,2020-06-16,后端
527,2020-06-17,后端
540,2020-06-18,后端
543,2020-06-19,后端
548,2020-06-20,后端
568,2020-06-21,后端
594,2020-06-22,后端
585,2020-06-23,后端
607,2020-06-24,后端
627,2020-06-25,后端
636,2020-06-26,后端
632,2020-06-27,后端
658,2020-06-28,后端
681,2020-06-29,后端
674,2020-06-30,后端
660,2020-07-01,后端
653,2020-07-02,后端
669,2020-07-03,后端
690,2020-07-04,后端
674,2020-07-05,后端
670,2020-07-06,后端
672,2020-07-07,后端
679,2020-07-08,后端
49,2020-05-08,金融
51,2020-05-09,金融
56,2020-05-10,金融
55,2020-05-11,金融
54,2020-05-12,金融
53,2020-05-13,金融
52,2020-05-14,金融
51,2020-05-15,金融
53,2020-05-16,金融
56,2020-05-17,金融
58,2020-05-18,金融
57,2020-05-19,金融
59,2020-05-20,金融
63,2020-05-21,金融
65,2020-05-22,金融
63,2020-05-23,金融
63,2020-05-24,金融
68,2020-05-25,金融
66,2020-05-26,金融
69,2020-05-27,金融
74,2020-05-28,金融
75,2020-05-29,金融
74,2020-05-30,金融
76,2020-05-31,金融
76,2020-06-01,金融
77,2020-06-02,金融
80,2020-06-03,金融
78,2020-06-04,金融
83,2020-06-05,金融
88,2020-06-06,金融
87,2020-06-07,金融
83,2020-06-08,金融
88,2020-06-09,金融
93,2020-06-10,金融
97,2020-06-11,金融
97,2020-06-12,金融
93,2020-06-13,金融
91,2020-06-14,金融
88,2020-06-15,金融
92,2020-06-16,金融
97,2020-06-17,金融
99,2020-06-18,金融
99,2020-06-19,金融
101,2020-06-20,金融
106,2020-06-21,金融
102,2020-06-22,金融
98,2020-06-23,金融
96,2020-06-24,金融
97,2020-06-25,金融
98,2020-06-26,金融
96,2020-06-27,金融
95,2020-06-28,金融
100,2020-06-29,金融
101,2020-06-30,金融
98,2020-07-01,金融
100,2020-07-02,金融
100,2020-07-03,金融
105,2020-07-04,金融
101,2020-07-05,金融
102,2020-07-06,金融
106,2020-07-07,金融
111,2020-07-08,金融
460,2020-05-08,其他
483,2020-05-09,其他
509,2020-05-10,其他
494,2020-05-11,其他
470,2020-05-12,其他
467,2020-05-13,其他
468,2020-05-14,其他
458,2020-05-15,其他
469,2020-05-16,其他
451,2020-05-17,其他
475,2020-05-18,其他
459,2020-05-19,其他
482,2020-05-20,其他
463,2020-05-21,其他
468,2020-05-22,其他
446,2020-05-23,其他
447,2020-05-24,其他
436,2020-05-25,其他
437,2020-05-26,其他
416,2020-05-27,其他
420,2020-05-28,其他
424,2020-05-29,其他
426,2020-05-30,其他
424,2020-05-31,其他
407,2020-06-01,其他
431,2020-06-02,其他
409,2020-06-03,其他
396,2020-06-04,其他
414,2020-06-05,其他
406,2020-06-06,其他
384,2020-06-07,其他
394,2020-06-08,其他
402,2020-06-09,其他
424,2020-06-10,其他
421,2020-06-11,其他
428,2020-06-12,其他
426,2020-06-13,其他
437,2020-06-14,其他
455,2020-06-15,其他
472,2020-06-16,其他
471,2020-06-17,其他
456,2020-06-18,其他
466,2020-06-19,其他
460,2020-06-20,其他
470,2020-06-21,其他
492,2020-06-22,其他
475,2020-06-23,其他
465,2020-06-24,其他
458,2020-06-25,其他
467,2020-06-26,其他
445,2020-06-27,其他
467,2020-06-28,其他
450,2020-06-29,其他
442,2020-06-30,其他
434,2020-07-01,其他
435,2020-07-02,其他
434,2020-07-03,其他
431,2020-07-04,其他
439,2020-07-05,其他
466,2020-07-06,其他
462,2020-07-07,其他
486,2020-07-08,其他
348,2020-05-08,前端
354,2020-05-09,前端
362,2020-05-10,前端
351,2020-05-11,前端
368,2020-05-12,前端
363,2020-05-13,前端
368,2020-05-14,前端
363,2020-05-15,前端
382,2020-05-16,前端
397,2020-05-17,前端
418,2020-05-18,前端
413,2020-05-19,前端
433,2020-05-20,前端
444,2020-05-21,前端
462,2020-05-22,前端
467,2020-05-23,前端
474,2020-05-24,前端
459,2020-05-25,前端
446,2020-05-26,前端
433,2020-05-27,前端
444,2020-05-28,前端
438,2020-05-29,前端
429,2020-05-30,前端
424,2020-05-31,前端
440,2020-06-01,前端
457,2020-06-02,前端
461,2020-06-03,前端
452,2020-06-04,前端
474,2020-06-05,前端
460,2020-06-06,前端
444,2020-06-07,前端
447,2020-06-08,前端
449,2020-06-09,前端
440,2020-06-10,前端
446,2020-06-11,前端
427,2020-06-12,前端
434,2020-06-13,前端
450,2020-06-14,前端
439,2020-06-15,前端
429,2020-06-16,前端
437,2020-06-17,前端
442,2020-06-18,前端
433,2020-06-19,前端
423,2020-06-20,前端
422,2020-06-21,前端
435,2020-06-22,前端
418,2020-06-23,前端
404,2020-06-24,前端
400,2020-06-25,前端
405,2020-06-26,前端
395,2020-06-27,前端
395,2020-06-28,前端
392,2020-06-29,前端
391,2020-06-30,前端
413,2020-07-01,前端
432,2020-07-02,前端
424,2020-07-03,前端
418,2020-07-04,前端
440,2020-07-05,前端
434,2020-07-06,前端
455,2020-07-07,前端
440,2020-07-08,前端
217,2020-05-08,人事
211,2020-05-09,人事
222,2020-05-10,人事
237,2020-05-11,人事
243,2020-05-12,人事
241,2020-05-13,人事
249,2020-05-14,人事
262,2020-05-15,人事
265,2020-05-16,人事
278,2020-05-17,人事
275,2020-05-18,人事
279,2020-05-19,人事
285,2020-05-20,人事
287,2020-05-21,人事
299,2020-05-22,人事
304,2020-05-23,人事
308,2020-05-24,人事
310,2020-05-25,人事
322,2020-05-26,人事
315,2020-05-27,人事
324,2020-05-28,人事
324,2020-05-29,人事
328,2020-05-30,人事
343,2020-05-31,人事
350,2020-06-01,人事
355,2020-06-02,人事
368,2020-06-03,人事
357,2020-06-04,人事
348,2020-06-05,人事
355,2020-06-06,人事
362,2020-06-07,人事
360,2020-06-08,人事
373,2020-06-09,人事
376,2020-06-10,人事
379,2020-06-11,人事
383,2020-06-12,人事
380,2020-06-13,人事
377,2020-06-14,人事
374,2020-06-15,人事
374,2020-06-16,人事
370,2020-06-17,人事
373,2020-06-18,人事
386,2020-06-19,人事
395,2020-06-20,人事
408,2020-06-21,人事
417,2020-06-22,人事
412,2020-06-23,人事
403,2020-06-24,人事
395,2020-06-25,人事
404,2020-06-26,人事
415,2020-06-27,人事
414,2020-06-28,人事
409,2020-06-29,人事
424,2020-06-30,人事
439,2020-07-01,人事
431,2020-07-02,人事
424,2020-07-03,人事
432,2020-07-04,人事
428,2020-07-05,人事
441,2020-07-06,人事
442,2020-07-07,人事
449,2020-07-08,人事
22,2020-05-08,设计
26,2020-05-09,设计
24,2020-05-10,设计
23,2020-05-11,设计
22,2020-05-12,设计
26,2020-05-13,设计
28,2020-05-14,设计
28,2020-05-15,设计
27,2020-05-16,设计
31,2020-05-17,设计
31,2020-05-18,设计
32,2020-05-19,设计
33,2020-05-20,设计
34,2020-05-21,设计
33,2020-05-22,设计
34,2020-05-23,设计
36,2020-05-24,设计
38,2020-05-25,设计
36,2020-05-26,设计
34,2020-05-27,设计
31,2020-05-28,设计
31,2020-05-29,设计
29,2020-05-30,设计
28,2020-05-31,设计
26,2020-06-01,设计
23,2020-06-02,设计
25,2020-06-03,设计
29,2020-06-04,设计
27,2020-06-05,设计
24,2020-06-06,设计
23,2020-06-07,设计
26,2020-06-08,设计
30,2020-06-09,设计
30,2020-06-10,设计
32,2020-06-11,设计
36,2020-06-12,设计
36,2020-06-13,设计
39,2020-06-14,设计
38,2020-06-15,设计
40,2020-06-16,设计
43,2020-06-17,设计
40,2020-06-18,设计
37,2020-06-19,设计
36,2020-06-20,设计
35,2020-06-21,设计
38,2020-06-22,设计
36,2020-06-23,设计
33,2020-06-24,设计
30,2020-06-25,设计
28,2020-06-26,设计
32,2020-06-27,设计
36,2020-06-28,设计
39,2020-06-29,设计
42,2020-06-30,设计
41,2020-07-01,设计
44,2020-07-02,设计
46,2020-07-03,设计
50,2020-07-04,设计
50,2020-07-05,设计
51,2020-07-06,设计
48,2020-07-07,设计
45,2020-07-08,设计
57,2020-05-08,市场
54,2020-05-09,市场
59,2020-05-10,市场
56,2020-05-11,市场
54,2020-05-12,市场
50,2020-05-13,市场
52,2020-05-14,市场
50,2020-05-15,市场
54,2020-05-16,市场
60,2020-05-17,市场
66,2020-05-18,市场
70,2020-05-19,市场
68,2020-05-20,市场
73,2020-05-21,市场
79,2020-05-22,市场
80,2020-05-23,市场
83,2020-05-24,市场
87,2020-05-25,市场
84,2020-05-26,市场
89,2020-05-27,市场
91,2020-05-28,市场
90,2020-05-29,市场
92,2020-05-30,市场
91,2020-05-31,市场
89,2020-06-01,市场
89,2020-06-02,市场
90,2020-06-03,市场
89,2020-06-04,市场
92,2020-06-05,市场
88,2020-06-06,市场
87,2020-06-07,市场
91,2020-06-08,市场
97,2020-06-09,市场
103,2020-06-10,市场
99,2020-06-11,市场
105,2020-06-12,市场
109,2020-06-13,市场
110,2020-06-14,市场
111,2020-06-15,市场
114,2020-06-16,市场
110,2020-06-17,市场
106,2020-06-18,市场
105,2020-06-19,市场
109,2020-06-20,市场
115,2020-06-21,市场
116,2020-06-22,市场
122,2020-06-23,市场
123,2020-06-24,市场
128,2020-06-25,市场
128,2020-06-26,市场
127,2020-06-27,市场
129,2020-06-28,市场
131,2020-06-29,市场
133,2020-06-30,市场
138,2020-07-01,市场
139,2020-07-02,市场
136,2020-07-03,市场
141,2020-07-04,市场
145,2020-07-05,市场
142,2020-07-06,市场
143,2020-07-07,市场
141,2020-07-08,市场
312,2020-05-08,数据
325,2020-05-09,数据
337,2020-05-10,数据
343,2020-05-11,数据
359,2020-05-12,数据
343,2020-05-13,数据
329,2020-05-14,数据
327,2020-05-15,数据
325,2020-05-16,数据
323,2020-05-17,数据
343,2020-05-18,数据
349,2020-05-19,数据
343,2020-05-20,数据
338,2020-05-21,数据
346,2020-05-22,数据
364,2020-05-23,数据
358,2020-05-24,数据
350,2020-05-25,数据
368,2020-05-26,数据
386,2020-05-27,数据
369,2020-05-28,数据
362,2020-05-29,数据
351,2020-05-30,数据
367,2020-05-31,数据
369,2020-06-01,数据
357,2020-06-02,数据
373,2020-06-03,数据
364,2020-06-04,数据
361,2020-06-05,数据
350,2020-06-06,数据
368,2020-06-07,数据
373,2020-06-08,数据
387,2020-06-09,数据
382,2020-06-10,数据
366,2020-06-11,数据
354,2020-06-12,数据
347,2020-06-13,数据
345,2020-06-14,数据
352,2020-06-15,数据
350,2020-06-16,数据
360,2020-06-17,数据
358,2020-06-18,数据
341,2020-06-19,数据
355,2020-06-20,数据
367,2020-06-21,数据
380,2020-06-22,数据
390,2020-06-23,数据
388,2020-06-24,数据
377,2020-06-25,数据
369,2020-06-26,数据
365,2020-06-27,数据
383,2020-06-28,数据
370,2020-06-29,数据
373,2020-06-30,数据
356,2020-07-01,数据
360,2020-07-02,数据
372,2020-07-03,数据
383,2020-07-04,数据
377,2020-07-05,数据
395,2020-07-06,数据
413,2020-07-07,数据
405,2020-07-08,数据
104,2020-05-08,物流
97,2020-05-09,物流
90,2020-05-10,物流
84,2020-05-11,物流
85,2020-05-12,物流
85,2020-05-13,物流
83,2020-05-14,物流
77,2020-05-15,物流
75,2020-05-16,物流
82,2020-05-17,物流
88,2020-05-18,物流
90,2020-05-19,物流
89,2020-05-20,物流
94,2020-05-21,物流
90,2020-05-22,物流
86,2020-05-23,物流
94,2020-05-24,物流
92,2020-05-25,物流
88,2020-05-26,物流
91,2020-05-27,物流
98,2020-05-28,物流
104,2020-05-29,物流
99,2020-05-30,物流
99,2020-05-31,物流
102,2020-06-01,物流
103,2020-06-02,物流
98,2020-06-03,物流
93,2020-06-04,物流
100,2020-06-05,物流
93,2020-06-06,物流
91,2020-06-07,物流
99,2020-06-08,物流
105,2020-06-09,物流
103,2020-06-10,物流
99,2020-06-11,物流
106,2020-06-12,物流
114,2020-06-13,物流
114,2020-06-14,物流
109,2020-06-15,物流
115,2020-06-16,物流
119,2020-06-17,物流
124,2020-06-18,物流
121,2020-06-19,物流
129,2020-06-20,物流
136,2020-06-21,物流
139,2020-06-22,物流
135,2020-06-23,物流
132,2020-06-24,物流
127,2020-06-25,物流
121,2020-06-26,物流
128,2020-06-27,物流
123,2020-06-28,物流
122,2020-06-29,物流
122,2020-06-30,物流
128,2020-07-01,物流
123,2020-07-02,物流
125,2020-07-03,物流
131,2020-07-04,物流
130,2020-07-05,物流
135,2020-07-06,物流
131,2020-07-07,物流
128,2020-07-08,物流
416,2020-05-08,销售
415,2020-05-09,销售
415,2020-05-10,销售
416,2020-05-11,销售
412,2020-05-12,销售
417,2020-05-13,销售
396,2020-05-14,销售
389,2020-05-15,销售
385,2020-05-16,销售
387,2020-05-17,销售
404,2020-05-18,销售
394,2020-05-19,销售
403,2020-05-20,销售
409,2020-05-21,销售
411,2020-05-22,销售
392,2020-05-23,销售
402,2020-05-24,销售
399,2020-05-25,销售
389,2020-05-26,销售
379,2020-05-27,销售
377,2020-05-28,销售
369,2020-05-29,销售
365,2020-05-30,销售
383,2020-05-31,销售
394,2020-06-01,销售
419,2020-06-02,销售
420,2020-06-03,销售
422,2020-06-04,销售
403,2020-06-05,销售
397,2020-06-06,销售
421,2020-06-07,销售
404,2020-06-08,销售
382,2020-06-09,销售
369,2020-06-10,销售
368,2020-06-11,销售
394,2020-06-12,销售
387,2020-06-13,销售
375,2020-06-14,销售
401,2020-06-15,销售
418,2020-06-16,销售
406,2020-06-17,销售
421,2020-06-18,销售
440,2020-06-19,销售
421,2020-06-20,销售
411,2020-06-21,销售
428,2020-06-22,销售
435,2020-06-23,销售
425,2020-06-24,销售
436,2020-06-25,销售
450,2020-06-26,销售
435,2020-06-27,销售
451,2020-06-28,销售
429,2020-06-29,销售
413,2020-06-30,销售
421,2020-07-01,销售
444,2020-07-02,销售
446,2020-07-03,销售
443,2020-07-04,销售
465,2020-07-05,销售
465,2020-07-06,销售
450,2020-07-07,销售
457,2020-07-08,销售
7,2020-05-08,医疗健康
5,2020-05-09,医疗健康
5,2020-05-10,医疗健康
6,2020-05-11,医疗健康
7,2020-05-12,医疗健康
9,2020-05-13,医疗健康
10,2020-05-14,医疗健康
9,2020-05-15,医疗健康
8,2020-05-16,医疗健康
9,2020-05-17,医疗健康
7,2020-05-18,医疗健康
10,2020-05-19,医疗健康
11,2020-05-20,医疗健康
9,2020-05-21,医疗健康
8,2020-05-22,医疗健康
10,2020-05-23,医疗健康
13,2020-05-24,医疗健康
14,2020-05-25,医疗健康
17,2020-05-26,医疗健康
15,2020-05-27,医疗健康
14,2020-05-28,医疗健康
14,2020-05-29,医疗健康
14,2020-05-30,医疗健康
13,2020-05-31,医疗健康
14,2020-06-01,医疗健康
15,2020-06-02,医疗健康
15,2020-06-03,医疗健康
13,2020-06-04,医疗健康
15,2020-06-05,医疗健康
15,2020-06-06,医疗健康
15,2020-06-07,医疗健康
15,2020-06-08,医疗健康
16,2020-06-09,医疗健康
15,2020-06-10,医疗健康
15,2020-06-11,医疗健康
15,2020-06-12,医疗健康
16,2020-06-13,医疗健康
16,2020-06-14,医疗健康
18,2020-06-15,医疗健康
18,2020-06-16,医疗健康
18,2020-06-17,医疗健康
19,2020-06-18,医疗健康
21,2020-06-19,医疗健康
23,2020-06-20,医疗健康
26,2020-06-21,医疗健康
28,2020-06-22,医疗健康
27,2020-06-23,医疗健康
28,2020-06-24,医疗健康
29,2020-06-25,医疗健康
31,2020-06-26,医疗健康
34,2020-06-27,医疗健康
36,2020-06-28,医疗健康
34,2020-06-29,医疗健康
37,2020-06-30,医疗健康
36,2020-07-01,医疗健康
36,2020-07-02,医疗健康
38,2020-07-03,医疗健康
38,2020-07-04,医疗健康
40,2020-07-05,医疗健康
42,2020-07-06,医疗健康
40,2020-07-07,医疗健康
40,2020-07-08,医疗健康
319,2020-05-08,运维
337,2020-05-09,运维
321,2020-05-10,运维
326,2020-05-11,运维
346,2020-05-12,运维
340,2020-05-13,运维
348,2020-05-14,运维
346,2020-05-15,运维
340,2020-05-16,运维
326,2020-05-17,运维
315,2020-05-18,运维
303,2020-05-19,运维
289,2020-05-20,运维
298,2020-05-21,运维
299,2020-05-22,运维
283,2020-05-23,运维
281,2020-05-24,运维
286,2020-05-25,运维
302,2020-05-26,运维
313,2020-05-27,运维
299,2020-05-28,运维
315,2020-05-29,运维
305,2020-05-30,运维
316,2020-05-31,运维
299,2020-06-01,运维
288,2020-06-02,运维
290,2020-06-03,运维
286,2020-06-04,运维
300,2020-06-05,运维
301,2020-06-06,运维
307,2020-06-07,运维
321,2020-06-08,运维
315,2020-06-09,运维
332,2020-06-10,运维
331,2020-06-11,运维
336,2020-06-12,运维
348,2020-06-13,运维
340,2020-06-14,运维
354,2020-06-15,运维
360,2020-06-16,运维
356,2020-06-17,运维
373,2020-06-18,运维
357,2020-06-19,运维
374,2020-06-20,运维
383,2020-06-21,运维
395,2020-06-22,运维
394,2020-06-23,运维
384,2020-06-24,运维
390,2020-06-25,运维
374,2020-06-26,运维
374,2020-06-27,运维
376,2020-06-28,运维
376,2020-06-29,运维
366,2020-06-30,运维
375,2020-07-01,运维
395,2020-07-02,运维
399,2020-07-03,运维
388,2020-07-04,运维
399,2020-07-05,运维
408,2020-07-06,运维
400,2020-07-07,运维
385,2020-07-08,运维
124,2020-05-08,运营
116,2020-05-09,运营
121,2020-05-10,运营
126,2020-05-11,运营
135,2020-05-12,运营
139,2020-05-13,运营
137,2020-05-14,运营
136,2020-05-15,运营
138,2020-05-16,运营
142,2020-05-17,运营
145,2020-05-18,运营
140,2020-05-19,运营
148,2020-05-20,运营
143,2020-05-21,运营
140,2020-05-22,运营
132,2020-05-23,运营
130,2020-05-24,运营
136,2020-05-25,运营
141,2020-05-26,运营
138,2020-05-27,运营
137,2020-05-28,运营
143,2020-05-29,运营
145,2020-05-30,运营
146,2020-05-31,运营
147,2020-06-01,运营
156,2020-06-02,运营
149,2020-06-03,运营
156,2020-06-04,运营
154,2020-06-05,运营
149,2020-06-06,运营
158,2020-06-07,运营
166,2020-06-08,运营
162,2020-06-09,运营
164,2020-06-10,运营
161,2020-06-11,运营
169,2020-06-12,运营
167,2020-06-13,运营
175,2020-06-14,运营
180,2020-06-15,运营
172,2020-06-16,运营
171,2020-06-17,运营
165,2020-06-18,运营
173,2020-06-19,运营
175,2020-06-20,运营
167,2020-06-21,运营
166,2020-06-22,运营
164,2020-06-23,运营
171,2020-06-24,运营
175,2020-06-25,运营
170,2020-06-26,运营
175,2020-06-27,运营
169,2020-06-28,运营
165,2020-06-29,运营
158,2020-06-30,运营
151,2020-07-01,运营
155,2020-07-02,运营
150,2020-07-03,运营
148,2020-07-04,运营
152,2020-07-05,运营
156,2020-07-06,运营
161,2020-07-07,运营
158,2020-07-08,运营
